------------------------------------------------------------
 Current - Vd = 0.1 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,       2.06148012e-11
               -0.95,       2.62090244e-11
                -0.9,       4.39217442e-11
               -0.85,       5.72498133e-11
                -0.8,       7.02509299e-11
               -0.75,       6.00209705e-11
                -0.7,       6.42124404e-11
               -0.65,       9.96725211e-11
                -0.6,       1.00901403e-10
               -0.55,       1.03373787e-10
                -0.5,       1.09723342e-10
               -0.45,       1.11562221e-10
                -0.4,       2.13435168e-10
               -0.35,        8.1109853e-10
                -0.3,       4.43051279e-09
               -0.25,       2.65756641e-08
                -0.2,       1.54823245e-07
               -0.15,       7.70912157e-07
                -0.1,       2.72756626e-06
               -0.05,        6.5880499e-06
                   0,       1.19225112e-05
                0.05,       1.79532123e-05
                 0.1,       2.41865909e-05
                0.15,       3.03926733e-05
                 0.2,       3.64707756e-05
                0.25,       4.23775159e-05
                 0.3,       4.80962365e-05
                0.35,       5.36222273e-05
                 0.4,       5.89571695e-05
                0.45,       6.41055713e-05
                 0.5,       6.90732223e-05
                0.55,       7.38662865e-05
                 0.6,       7.84912988e-05
                0.65,       8.29547279e-05
                 0.7,       8.72627135e-05
                0.75,       9.14212699e-05
                 0.8,       9.54363108e-05
                0.85,       9.93133678e-05
                 0.9,       0.000103057788
                0.95,        0.00010667495
                   1,       0.000110169609
                1.05,       0.000113546623
                 1.1,       0.000116810721
                1.15,       0.000119966182
                 1.2,       0.000123017455
                1.25,       0.000125968354
                 1.3,       0.000128823051
                1.35,       0.000131585401
                 1.4,       0.000134258778
                1.45,       0.000136846988
                 1.5,       0.000139353194
                1.55,       0.000141780611
                 1.6,       0.000144132398
                1.65,       0.000146411614
                 1.7,       0.000148620929
                1.75,       0.000150763137
                 1.8,       0.000152840895
                1.85,       0.000154856689
                 1.9,       0.000156812913
                1.95,       0.000158711797
                   2,       0.000160555621
                2.05,       0.000162346405
                 2.1,       0.000164086382
                2.15,       0.000165777056
                 2.2,       0.000167420773
                2.25,       0.000169018993
                 2.3,       0.000170573526
                2.35,       0.000172085815
                 2.4,       0.000173557589
                2.45,         0.0001749903
                 2.5,       0.000176385281

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,       4.77685375e-11
               -0.95,       1.00735168e-11
                -0.9,       9.30737538e-12
               -0.85,      -9.56275753e-12
                -0.8,       6.30775338e-12
               -0.75,       3.09263894e-11
                -0.7,        7.7067691e-11
               -0.65,       7.77100683e-11
                -0.6,       1.05314066e-10
               -0.55,       1.29978283e-10
                -0.5,       1.11466417e-10
               -0.45,       1.23211787e-10
                -0.4,       2.18296157e-10
               -0.35,       1.00957228e-09
                -0.3,       4.93821006e-09
               -0.25,       2.99451118e-08
                -0.2,       1.75218544e-07
               -0.15,       8.78691928e-07
                -0.1,       3.16434096e-06
               -0.05,       8.00191279e-06
                   0,       1.57286253e-05
                0.05,       2.62713384e-05
                 0.1,       3.94096445e-05
                0.15,       5.48914344e-05
                 0.2,       7.24742463e-05
                0.25,        9.1937834e-05
                 0.3,       0.000113085468
                0.35,       0.000135743212
                 0.4,       0.000159756623
                0.45,       0.000184988301
                 0.5,       0.000211315192
                0.55,       0.000238627247
                 0.6,       0.000266823868
                0.65,       0.000295815241
                 0.7,       0.000325518433
                0.75,       0.000355857728
                 0.8,       0.000386763571
                0.85,       0.000418170958
                 0.9,       0.000450019853
                0.95,       0.000482253172
                   1,       0.000514816931
                1.05,       0.000547659113
                 1.1,       0.000580729008
                1.15,       0.000613975464
                 1.2,       0.000647347809
                1.25,       0.000680791333
                 1.3,       0.000714246862
                1.35,        0.00074764744
                 1.4,       0.000780912695
                1.45,       0.000813940214
                 1.5,       0.000846594925
                1.55,       0.000878699539
                 1.6,       0.000910063025
                1.65,        0.00094054503
                 1.7,       0.000970086102
                1.75,       0.000998681573
                 1.8,        0.00102635418
                1.85,        0.00105313649
                 1.9,        0.00107906361
                1.95,        0.00110417104
                   2,        0.00112849243
                2.05,        0.00115205978
                 2.1,        0.00117490363
                2.15,        0.00119705239
                 2.2,        0.00121853397
                2.25,        0.00123937377
                 2.3,        0.00125959683
                2.35,        0.00127922658
                 2.4,        0.00129828529
                2.45,        0.00131679481
                 2.5,        0.00133477516

