------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.5,       2.15741967e-15
         -0.45959596,       8.45215498e-15
        -0.419191919,       2.46180939e-14
        -0.378787879,       9.41859981e-14
        -0.338383838,       3.31150431e-13
        -0.297979798,       1.27255731e-12
        -0.257575758,        4.8788694e-12
        -0.217171717,       1.88606374e-11
        -0.176767677,       7.31109438e-11
        -0.136363636,       2.83727087e-10
        -0.095959596,       1.10092202e-09
       -0.0555555556,       4.26585511e-09
       -0.0151515152,       1.64780431e-08
        0.0252525253,       6.32264169e-08
        0.0656565657,       2.38722975e-07
         0.106060606,        8.6432308e-07
         0.146464646,       2.82406712e-06
         0.186868687,       7.60057772e-06
         0.227272727,       1.59705171e-05
         0.267676768,       2.69281017e-05
         0.308080808,       3.88176883e-05
         0.348484848,       5.05014633e-05
         0.388888889,       6.14475343e-05
         0.429292929,       7.14785415e-05
          0.46969697,       8.05838088e-05
          0.51010101,       8.88219548e-05
         0.550505051,       9.62754637e-05
         0.590909091,       0.000103030469
         0.631313131,       0.000109168246
         0.671717172,         0.0001147621
         0.712121212,       0.000119876678
         0.752525253,       0.000124568344
         0.792929293,       0.000128885996
         0.833333333,       0.000132871953
         0.873737374,       0.000136562852
         0.914141414,        0.00013999045
         0.954545455,       0.000143182329
         0.994949495,       0.000146162508
          1.03535354,       0.000148951962
          1.07575758,       0.000151569059
          1.11616162,       0.000154029942
          1.15656566,       0.000156348835
           1.1969697,       0.000158538312
          1.23737374,        0.00016060952
          1.27777778,       0.000162572372
          1.31818182,       0.000164435708
          1.35858586,       0.000166207435
           1.3989899,       0.000167894645
          1.43939394,       0.000169503711
          1.47979798,        0.00017104038
          1.52020202,       0.000172509842
          1.56060606,         0.0001739168
           1.6010101,       0.000175265523
          1.64141414,       0.000176559893
          1.68181818,       0.000177803451
          1.72222222,       0.000178999432
          1.76262626,       0.000180150795
           1.8030303,       0.000181260256
          1.84343434,       0.000182330308
          1.88383838,       0.000183363246
          1.92424242,       0.000184361188
          1.96464646,        0.00018532609
          2.00505051,       0.000186259759
          2.04545455,       0.000187163868
          2.08585859,       0.000188039973
          2.12626263,       0.000188889516
          2.16666667,        0.00018971384
          2.20707071,       0.000190514196
          2.24747475,        0.00019129175
          2.28787879,       0.000192047592
          2.32828283,       0.000192782741
          2.36868687,       0.000193498151
          2.40909091,       0.000194194716
          2.44949495,       0.000194873274
          2.48989899,       0.000195534613
          2.53030303,       0.000196179472
          2.57070707,       0.000196808549
          2.61111111,       0.000197422503
          2.65151515,       0.000198021951
          2.69191919,       0.000198607478
          2.73232323,       0.000199179638
          2.77272727,        0.00019973895
          2.81313131,       0.000200285911
          2.85353535,       0.000200820987
          2.89393939,       0.000201344622
          2.93434343,       0.000201857237
          2.97474747,       0.000202359229
          3.01515152,       0.000202850979
          3.05555556,       0.000203332849
           3.0959596,        0.00020380518
          3.13636364,       0.000204268301
          3.17676768,       0.000204722521
