------------------------------------------------------------
 Current - Vd = 0.1 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,       1.68383541e-11
               -0.95,        4.7846015e-11
                -0.9,       4.35772646e-11
               -0.85,       4.14586146e-11
                -0.8,       6.99072226e-11
               -0.75,       7.16898733e-11
                -0.7,       5.90649519e-11
               -0.65,       7.01539141e-11
                -0.6,       8.20222053e-11
               -0.55,       8.75820532e-11
                -0.5,       9.56478865e-11
               -0.45,       1.00921374e-10
                -0.4,       7.55364753e-11
               -0.35,       9.68653134e-11
                -0.3,        4.5443515e-10
               -0.25,       2.30568278e-09
                -0.2,       1.28513829e-08
               -0.15,       6.67376247e-08
                -0.1,       2.46930745e-07
               -0.05,       6.19151892e-07
                   0,       1.15173043e-06
                0.05,       1.76451355e-06
                 0.1,       2.40367205e-06
                0.15,       3.04399384e-06
                 0.2,       3.67426145e-06
                0.25,       4.28932906e-06
                 0.3,       4.88688849e-06
                0.35,        5.4661893e-06
                 0.4,       6.02709995e-06
                0.45,       6.56965997e-06
                 0.5,       7.09451542e-06
                0.55,       7.60193782e-06
                 0.6,       8.09254922e-06
                0.65,       8.56686639e-06
                 0.7,       9.02546395e-06
                0.75,       9.46889012e-06
                 0.8,       9.89760866e-06
                0.85,       1.03121464e-05
                 0.9,       1.07130827e-05
                0.95,       1.11008347e-05
                   1,       1.14758813e-05
                1.05,       1.18387928e-05
                 1.1,       1.21898243e-05
                1.15,       1.25294634e-05
                 1.2,        1.2858171e-05
                1.25,       1.31763338e-05
                 1.3,       1.34844016e-05
                1.35,       1.37826747e-05
                 1.4,       1.40715239e-05
                1.45,        1.4351375e-05
                 1.5,       1.46224812e-05
                1.55,       1.48852025e-05
                 1.6,       1.51398001e-05
                1.65,       1.53867386e-05
                 1.7,       1.56262124e-05
                1.75,       1.58584735e-05
                 1.8,       1.60836814e-05
                1.85,        1.6302403e-05
                 1.9,       1.65146265e-05
                1.95,        1.6720687e-05
                   2,       1.69208151e-05
                2.05,       1.71152505e-05
                 2.1,       1.73041036e-05
                2.15,       1.74877591e-05
                 2.2,       1.76661761e-05
                2.25,       1.78397597e-05
                 2.3,       1.80085895e-05
                2.35,       1.81727962e-05
                 2.4,       1.83327748e-05
                2.45,       1.84883301e-05
                 2.5,       1.86398242e-05

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
                  -1,       4.19330362e-11
               -0.95,      -2.14963137e-11
                -0.9,       1.37661216e-11
               -0.85,      -3.25599876e-11
                -0.8,       1.76335635e-11
               -0.75,       1.13677244e-11
                -0.7,       9.01006295e-11
               -0.65,       5.81462664e-11
                -0.6,       1.14916733e-10
               -0.55,       1.05271141e-10
                -0.5,       1.14209646e-10
               -0.45,       9.02630026e-11
                -0.4,       8.41008498e-11
               -0.35,        1.4548148e-10
                -0.3,       5.06298276e-10
               -0.25,       2.28442911e-09
                -0.2,       1.33074554e-08
               -0.15,       6.90003851e-08
                -0.1,       2.60062771e-07
               -0.05,       6.84989765e-07
                   0,       1.39800905e-06
                0.05,       2.41833986e-06
                 0.1,       3.74961484e-06
                0.15,       5.38729082e-06
                 0.2,       7.32371778e-06
                0.25,       9.54990885e-06
                 0.3,       1.20561835e-05
                0.35,       1.48320521e-05
                 0.4,       1.78680622e-05
                0.45,       2.11539302e-05
                 0.5,       2.46799255e-05
                0.55,       2.84363514e-05
                 0.6,       3.24140966e-05
                0.65,       3.66030772e-05
                 0.7,       4.09940019e-05
                0.75,       4.55771795e-05
                 0.8,       5.03414914e-05
                0.85,          5.52746e-05
                 0.9,       6.03586212e-05
                0.95,       6.55463702e-05
                   1,       7.06966864e-05
                1.05,       7.57103673e-05
                 1.1,        8.0565175e-05
                1.15,       8.52588839e-05
                 1.2,       8.97943219e-05
                1.25,       9.41754825e-05
                 1.3,       9.84084359e-05
                1.35,       0.000102498355
                 1.4,        0.00010645071
                1.45,        0.00011027075
                 1.5,       0.000113963874
                1.55,       0.000117534871
                 1.6,       0.000120988642
                1.65,       0.000124329297
                 1.7,       0.000127561366
                1.75,       0.000130689109
                 1.8,       0.000133716403
                1.85,       0.000136647242
                 1.9,       0.000139485234
                1.95,       0.000142233693
                   2,       0.000144896395
                2.05,        0.00014747639
                 2.1,       0.000149977118
                2.15,       0.000152400988
                 2.2,       0.000154751549
                2.25,       0.000157031239
                 2.3,       0.000159242896
                2.35,       0.000161389017
                 2.4,       0.000163472058
                2.45,       0.000165494279
                 2.5,       0.000167458307

