------------------------------------------------------------
 Current - Vd = 0.05 V
------------------------------------------------------------
Voltage (V), Current (A)
                -0.5,       3.27805987e-14
         -0.45959596,        9.1937284e-14
        -0.419191919,       2.89339969e-13
        -0.378787879,        9.9865849e-13
        -0.338383838,        3.6335586e-12
        -0.297979798,       1.35725025e-11
        -0.257575758,       5.16135491e-11
        -0.217171717,       1.98206531e-10
        -0.176767677,       7.64737801e-10
        -0.136363636,       2.95543131e-09
        -0.095959596,       1.14140178e-08
       -0.0555555556,       4.39304851e-08
       -0.0151515152,       1.67618174e-07
        0.0252525253,       6.25833456e-07
        0.0656565657,       2.21035661e-06
         0.106060606,       6.85661776e-06
         0.146464646,       1.69743839e-05
         0.186868687,       3.24338754e-05
         0.227272727,       5.02650867e-05
         0.267676768,        6.7752167e-05
         0.308080808,       8.36460267e-05
         0.348484848,       9.76483404e-05
         0.388888889,       0.000109856529
         0.429292929,       0.000120490225
          0.46969697,       0.000129783407
          0.51010101,       0.000137947636
         0.550505051,       0.000145162999
         0.590909091,       0.000151579013
         0.631313131,       0.000157318638
         0.671717172,       0.000162482785
         0.712121212,        0.00016715443
         0.752525253,       0.000171402043
         0.792929293,       0.000175282434
         0.833333333,       0.000178842979
         0.873737374,       0.000182123418
         0.914141414,       0.000185157273
         0.954545455,       0.000187972989
         0.994949495,       0.000190594822
          1.03535354,       0.000193043576
          1.07575758,       0.000195337179
          1.11616162,       0.000197491157
          1.15656566,       0.000199519017
           1.1969697,       0.000201432561
          1.23737374,       0.000203242151
          1.27777778,       0.000204956912
          1.31818182,       0.000206584914
          1.35858586,        0.00020813332
           1.3989899,       0.000209608507
          1.43939394,       0.000211016174
          1.47979798,        0.00021236143
          1.52020202,       0.000213648866
          1.56060606,       0.000214882623
           1.6010101,       0.000216066443
          1.64141414,       0.000217203715
          1.68181818,       0.000218297521
          1.72222222,       0.000219350665
          1.76262626,       0.000220365709
           1.8030303,       0.000221344992
          1.84343434,       0.000222290663
          1.88383838,        0.00022320469
          1.92424242,       0.000224088886
          1.96464646,       0.000224944924
          2.00505051,       0.000225774349
          2.04545455,       0.000226578588
          2.08585859,       0.000227358965
          2.12626263,       0.000228116705
          2.16666667,       0.000228852951
          2.20707071,       0.000229568764
          2.24747475,       0.000230265132
          2.28787879,       0.000230942981
          2.32828283,       0.000231603171
          2.36868687,        0.00023224651
          2.40909091,       0.000232873755
          2.44949495,       0.000233485611
          2.48989899,       0.000234082747
          2.53030303,       0.000234665789
          2.57070707,       0.000235235326
          2.61111111,       0.000235791912
          2.65151515,        0.00023633607
          2.69191919,       0.000236868293
          2.73232323,       0.000237389049
          2.77272727,       0.000237898777
          2.81313131,       0.000238397894
          2.85353535,       0.000238886796
          2.89393939,       0.000239365858
          2.93434343,       0.000239835433
          2.97474747,        0.00024029586
          3.01515152,       0.000240747459
          3.05555556,       0.000241190534
           3.0959596,       0.000241625377
          3.13636364,        0.00024205226
          3.17676768,       0.000242471449
          3.21717172,       0.000242883195
          3.25757576,       0.000243287736
           3.2979798,       0.000243685302
          3.33838384,       0.000244076111
          3.37878788,        0.00024446037
          3.41919192,       0.000244838281
          3.45959596,       0.000245210034
                 3.5,       0.000245575811

------------------------------------------------------------
 Current - Vd = 1.0 V
------------------------------------------------------------
Voltage (V), Current (A)
             -0.0625,       8.33170511e-08
            -0.09375,       2.94951894e-08
              -0.125,       1.04283893e-08
            -0.15625,       3.69162853e-09
           -0.171875,       2.19903772e-09
             -0.1875,       1.31149017e-09
            -0.21875,       4.68899312e-10
               -0.25,       1.69355053e-10
           -0.265625,       1.02316532e-10
            -0.28125,       6.21002357e-11
             -0.3125,       2.32985175e-11
            -0.34375,       9.04203042e-12
           -0.359375,       5.71535166e-12
              -0.375,        3.6760824e-12
            -0.40625,       1.59115323e-12
             -0.4375,       7.37884622e-13
            -0.46875,       3.62391279e-13
           -0.484375,       2.68734247e-13
                -0.5,        1.9485271e-13
         -0.45959596,       4.47225406e-13
        -0.419191919,       1.14815246e-12
        -0.378787879,       3.30180626e-12
        -0.338383838,       1.06016775e-11
        -0.297979798,       3.66108993e-11
        -0.257575758,       1.32578095e-10
        -0.217171717,       4.93793797e-10
        -0.196969697,       9.59494292e-10
        -0.176767677,       1.87017849e-09
        -0.136363636,       7.14666208e-09
        -0.116161616,       1.39930668e-08
        -0.095959596,       2.74049233e-08
       -0.0555555556,       1.04890733e-07
       -0.0151515152,         3.973215e-07
        0.0252525253,       1.46104486e-06
        0.0656565657,       4.98489953e-06
         0.106060606,        1.4581457e-05
         0.146464646,       3.42430883e-05
         0.186868687,       6.50179896e-05
         0.227272727,       0.000105124226
         0.267676768,       0.000152108972
         0.308080808,       0.000203909688
         0.348484848,       0.000258989416
         0.388888889,       0.000316217119
         0.429292929,       0.000374733777
          0.46969697,       0.000433847347
          0.51010101,       0.000492950267
         0.550505051,       0.000551448937
         0.590909091,       0.000608714818
         0.631313131,       0.000664155848
         0.671717172,       0.000717587521
         0.712121212,       0.000769419707
         0.752525253,       0.000820079724
         0.792929293,       0.000869768269
         0.833333333,       0.000918582257
         0.873737374,       0.000966582132
         0.914141414,        0.00101381272
         0.954545455,        0.00106030952
         0.994949495,        0.00110610028
          1.03535354,        0.00115120504
          1.07575758,        0.00119563534
          1.11616162,        0.00123939162
          1.15656566,         0.0012824566
           1.1969697,        0.00132477993
          1.23737374,        0.00136624996
          1.27777778,        0.00140665426
          1.31818182,        0.00144562942
          1.35858586,        0.00148266389
           1.3989899,        0.00151729795
          1.43939394,        0.00154935014
          1.47979798,        0.00157890047
          1.52020202,         0.0016061582
